label,channel,start_s,best_step,SNR_raw_dB,SNR_dip_dB,Delta_SNR_dB,EEG_total_0p5_500_raw,EEG_total_0p5_500_dip,EEG_total_delta_pct,NonEEG_total_0p5_500_raw,EEG_0p5_40_raw,EEG_0p5_40_dip,EEG_0p5_40_delta_pct,EEG_80_250_raw,EEG_80_250_dip,HF1_suppress_pct,EEG_250_500_raw,EEG_250_500_dip,HF2_suppress_pct,HF_total_suppress_pct,selection,agg,snr_mode,model,is_artifact
N3,C3,1.140000e+03,600,-152.654121,-152.665211,-0.011090,2.892574e-08,2.885197e-08,-0.255034,5.329623e+07,2.886324e-08,2.886229e-08,-0.003284,2.890534e-11,2.809870e-12,90.279399,1.260642e-11,5.053771e-12,59.914302,81.057291,mse,mean,raw,Shallow ReLU Prior,0
R,C3,6.840000e+03,600,-163.183177,-163.233045,-0.049868,2.989656e-09,2.955523e-09,-1.141696,6.222129e+07,2.843361e-09,2.845068e-09,0.060014,2.168824e-11,1.809386e-12,91.657677,1.179292e-11,2.035956e-12,82.737245,88.515251,mse,mean,raw,Shallow ReLU Prior,0
L,C3,2.856000e+04,600,-171.490958,-171.542090,-0.051131,1.584534e-09,1.565988e-09,-1.170437,2.233560e+08,1.153827e-09,1.145516e-09,-0.720255,1.061033e-10,9.526046e-11,10.219951,2.695421e-11,2.942813e-11,-9.174177,6.290381,mse,mean,raw,Shallow ReLU Prior,0
W,C3,0.000000,600,-162.157278,-162.261030,-0.103752,3.705506e-09,3.618031e-09,-2.360674,6.089413e+07,3.427805e-09,3.436978e-09,0.267587,4.775906e-11,3.883283e-12,91.869184,1.760367e-11,6.323193e-12,64.082292,84.385108,mse,mean,raw,Shallow ReLU Prior,1
W,C3,30.000000,600,-162.360985,-164.011575,-1.650590,4.785639e-09,3.272509e-09,-31.618130,8.242111e+07,2.237880e-09,3.292545e-09,47.127817,1.392545e-09,4.400743e-13,99.968398,3.910303e-10,3.521844e-14,99.990993,99.973352,mse,mean,raw,EEGNet,0
N1,C3,60.000000,600,-160.636260,-163.411941,-2.775682,5.569008e-09,2.939068e-09,-47.224564,6.447686e+07,5.273283e-09,2.940329e-09,-44.241012,4.091352e-11,4.285672e-13,98.952530,1.713171e-11,3.460298e-14,99.798030,99.202067,mse,mean,raw,EEGNet,0
N2,C3,360.000000,600,-158.314060,-161.095754,-2.781694,9.514994e-09,5.014633e-09,-47.297570,6.453786e+07,9.339171e-09,5.014823e-09,-46.303331,2.900535e-11,6.478625e-13,97.766481,1.315275e-11,4.778933e-14,99.636687,98.349937,mse,mean,raw,EEGNet,0
N3,C3,1.140000e+03,600,-152.654121,-156.724394,-4.070273,2.892574e-08,1.133071e-08,-60.828275,5.329623e+07,2.886324e-08,1.137869e-08,-60.577220,2.890534e-11,1.195038e-12,95.865826,1.260642e-11,9.156830e-14,99.273695,96.900696,mse,mean,raw,EEGNet,0
R,C3,6.840000e+03,600,-163.183177,-165.098159,-1.914982,2.989656e-09,1.923636e-09,-35.656931,6.222129e+07,2.843361e-09,1.924694e-09,-32.309202,2.168824e-11,2.245652e-13,98.964624,1.179292e-11,1.605950e-14,99.863832,99.281335,mse,mean,raw,EEGNet,0
L,C3,2.856000e+04,600,-171.490958,-170.836955,0.654003,1.584534e-09,1.842052e-09,16.251968,2.233560e+08,1.153827e-09,1.848032e-09,60.165480,1.061033e-10,3.064780e-13,99.711154,2.695421e-11,2.330002e-14,99.913560,99.752156,mse,mean,raw,EEGNet,0
W,C3,0.000000,600,-162.157278,-159.133805,3.023474,3.705506e-09,7.433527e-09,100.607588,6.089413e+07,3.427805e-09,7.436836e-09,116.956148,4.775906e-11,1.163078e-12,97.564747,1.760367e-11,9.358549e-14,99.468405,98.077430,mse,mean,raw,EEGNet,1
