label,channel,start_s,best_step,SNR_raw_dB,SNR_dip_dB,Delta_SNR_dB,EEG_total_0p5_500_raw,EEG_total_0p5_500_dip,EEG_total_delta_pct,NonEEG_total_0p5_500_raw,EEG_0p5_40_raw,EEG_0p5_40_dip,EEG_0p5_40_delta_pct,EEG_80_250_raw,EEG_80_250_dip,HF1_suppress_pct,EEG_250_500_raw,EEG_250_500_dip,HF2_suppress_pct,HF_total_suppress_pct,selection,agg,snr_mode,model,is_artifact
N2,T3,360.000000,800,-148.749649,-148.773532,-0.023883,8.606958e-08,8.559756e-08,-0.548419,6.453786e+07,8.526155e-08,8.561227e-08,0.411353,1.098019e-10,1.674865e-11,84.746622,9.160442e-11,2.590381e-11,71.722406,78.822786,snr,mean,raw,Shallow LeakyRelu,0
N3,T3,1.140000e+03,400,-145.932140,-145.801112,0.131028,1.359823e-07,1.401475e-07,3.062997,5.329623e+07,1.352370e-07,1.402110e-07,3.677917,1.278238e-10,3.741271e-11,70.731260,1.025853e-10,8.082158e-11,21.216026,48.685289,snr,mean,raw,Shallow LeakyRelu,0
R,T3,6.840000e+03,1050,-154.372864,-154.265086,0.107777,2.273278e-08,2.330399e-08,2.512710,6.222129e+07,2.214610e-08,2.280069e-08,2.955784,5.043820e-11,1.828660e-11,63.745256,7.660348e-11,2.191297e-11,71.394662,68.357427,snr,mean,raw,Shallow LeakyRelu,0
L,T3,2.856000e+04,1300,-164.865994,-164.826894,0.039100,7.284473e-09,7.350352e-09,0.904381,2.233560e+08,5.148026e-09,5.182362e-09,0.666964,8.707579e-10,9.111072e-10,-4.633686,2.712510e-10,2.377827e-10,12.338819,-0.602441,snr,mean,raw,Shallow LeakyRelu,0
W,T3,0.000000,1500,-155.227725,-154.968301,0.259424,1.827271e-08,1.939748e-08,6.155474,6.089413e+07,1.717964e-08,1.935742e-08,12.676505,2.220598e-10,1.300525e-11,94.143384,1.239270e-10,2.518023e-11,79.681562,88.963345,snr,mean,raw,Shallow LeakyRelu,1
W,T3,30.000000,600,-154.720684,-28.107363,126.613321,2.779522e-08,1.274389e+05,4.584923e+14,8.242111e+07,1.355244e-08,1.274468e+05,9.403976e+14,7.293761e-09,0.030369,-4.163635e+08,2.326067e-09,0.001458,-6.266060e+07,-3.308385e+08,mse,mean,raw,Deep Residual LeakyRelu,0
N1,T3,60.000000,600,-153.804531,-19.263959,134.540573,2.685040e-08,7.638498e+05,2.844836e+15,6.447686e+07,2.565262e-08,7.638810e+05,2.977790e+15,1.981389e-10,0.107651,-5.433090e+10,1.204023e-10,0.054649,-4.538842e+10,-5.095097e+10,mse,mean,raw,Deep Residual LeakyRelu,0
N2,T3,360.000000,600,-148.749649,-125.139888,23.609762,8.606958e-08,1.976177e-05,2.286023e+04,6.453786e+07,8.526155e-08,1.976697e-05,2.308393e+04,1.098019e-10,3.283482e-11,70.096581,9.160442e-11,8.834706e-11,3.556957,39.832437,mse,mean,raw,Deep Residual LeakyRelu,0
N3,T3,1.140000e+03,600,-145.932140,-89.913049,56.019091,1.359823e-07,0.054374,3.998600e+07,5.329623e+07,1.352370e-07,0.054401,4.022645e+07,1.278238e-10,7.525682e-08,-5.877497e+04,1.025853e-10,3.940804e-09,-3.741452e+03,-3.427246e+04,mse,mean,raw,Deep Residual LeakyRelu,0
R,T3,6.840000e+03,600,-154.372864,-80.857337,73.515526,2.273278e-08,0.510746,2.246739e+09,6.222129e+07,2.214610e-08,0.510877,2.306847e+09,5.043820e-11,1.372967e-09,-2.622023e+03,7.660348e-11,1.206605e-09,-1.475110e+03,-1.930476e+03,mse,mean,raw,Deep Residual LeakyRelu,0
L,T3,2.856000e+04,600,-164.865994,-42.511401,122.354593,7.284473e-09,1.252730e+04,1.719726e+14,2.233560e+08,5.148026e-09,1.254454e+04,2.436766e+14,8.707579e-10,0.036221,-4.159734e+09,2.712510e-10,0.004189,-1.544401e+09,-3.538540e+09,mse,mean,raw,Deep Residual LeakyRelu,0
W,T3,0.000000,600,-155.227725,-82.646896,72.580828,1.827271e-08,0.331044,1.811685e+09,6.089413e+07,1.717964e-08,0.331680,1.930660e+09,2.220598e-10,5.222017e-09,-2.251615e+03,1.239270e-10,1.374023e-09,-1.008727e+03,-1.806437e+03,mse,mean,raw,Deep Residual LeakyRelu,1
W,T3,30.000000,50,-154.720684,-128.303453,26.417231,2.779522e-08,1.218129e-05,4.372512e+04,8.242111e+07,1.355244e-08,1.218213e-05,8.978884e+04,7.293761e-09,7.400786e-11,98.985327,2.326067e-09,1.173020e-10,94.957066,98.011296,snr,mean,raw,Deep Residual LeakyRelu,0
N1,T3,60.000000,200,-153.804531,17.120058,170.924590,2.685040e-08,3.322077e+09,1.237254e+19,6.447686e+07,2.565262e-08,3.322612e+09,1.295233e+19,1.981389e-10,1.602356,-8.086994e+11,1.204023e-10,1.520084,-1.262493e+12,-9.802280e+11,snr,mean,raw,Deep Residual LeakyRelu,0
N2,T3,360.000000,150,-148.749649,19.924920,168.674569,8.606958e-08,6.343173e+09,7.369820e+18,6.453786e+07,8.526155e-08,6.343188e+09,7.439682e+18,1.098019e-10,0.015832,-1.441836e+10,9.160442e-11,0.038406,-4.192555e+10,-2.692944e+10,snr,mean,raw,Deep Residual LeakyRelu,0
N3,T3,1.140000e+03,150,-145.932140,7.679633,153.611772,1.359823e-07,3.123631e+08,2.297086e+17,5.329623e+07,1.352370e-07,3.123915e+08,2.309955e+17,1.278238e-10,386.214838,-3.021439e+14,1.025853e-10,18.350309,-1.788768e+13,-1.755848e+14,snr,mean,raw,Deep Residual LeakyRelu,0
R,T3,6.840000e+03,150,-154.372864,6.040508,160.413372,2.273278e-08,2.500287e+08,1.099859e+18,6.222129e+07,2.214610e-08,2.500371e+08,1.129034e+18,5.043820e-11,0.008695,-1.723843e+10,7.660348e-11,0.015699,-2.049355e+10,-1.920135e+10,snr,mean,raw,Deep Residual LeakyRelu,0
L,T3,2.856000e+04,150,-164.865994,71.979165,236.845159,7.284473e-09,3.523012e+15,4.836330e+25,2.233560e+08,5.148026e-09,3.523743e+15,6.844842e+25,8.707579e-10,1.222898e+04,-1.404404e+15,2.712510e-10,3.040028e+04,-1.120739e+16,-3.732827e+15,snr,mean,raw,Deep Residual LeakyRelu,0
W,T3,0.000000,100,-155.227725,-90.038015,65.189710,1.827271e-08,0.060363,3.303474e+08,6.089413e+07,1.717964e-08,0.060383,3.514792e+08,2.220598e-10,3.460416e-10,-55.831899,1.239270e-10,6.338155e-11,48.856149,-18.334558,snr,mean,raw,Deep Residual LeakyRelu,1
W,Fp1,30.000000,600,-154.591742,-154.746512,-0.154770,2.863283e-08,2.763040e-08,-3.500967,8.242111e+07,1.976301e-08,1.976560e-08,0.013130,3.229378e-09,2.652132e-09,17.874870,1.091936e-09,7.165544e-10,34.377697,22.044890,mse,mean,raw,Shallow ReLU Prior,0
N1,Fp1,60.000000,600,-152.584884,-152.661676,-0.076792,3.555621e-08,3.493303e-08,-1.752653,6.447686e+07,3.201884e-08,3.201214e-08,-0.020934,4.992680e-10,4.928215e-11,90.129138,9.002572e-11,4.395165e-11,51.179325,84.178747,mse,mean,raw,Shallow ReLU Prior,0
N2,Fp1,360.000000,600,-145.526536,-145.531258,-0.004722,1.807844e-07,1.805880e-07,-0.108677,6.453786e+07,1.784274e-07,1.789815e-07,0.310529,3.417490e-10,6.178602e-11,81.920698,5.918604e-11,4.792703e-11,19.024449,72.635774,mse,mean,raw,Shallow ReLU Prior,0
N3,Fp1,1.140000e+03,600,-144.163273,-144.207888,-0.044615,2.043475e-07,2.022589e-07,-1.022047,5.329623e+07,2.023813e-07,2.011622e-07,-0.602366,3.134382e-10,6.175511e-11,80.297581,4.535924e-11,4.522553e-11,0.296974,70.183640,mse,mean,raw,Shallow ReLU Prior,0
R,Fp1,6.840000e+03,600,-150.043574,-150.126571,-0.082996,6.160012e-08,6.043408e-08,-1.892919,6.222129e+07,5.975999e-08,5.982666e-08,0.111564,3.984293e-10,5.466970e-11,86.278728,5.143263e-11,8.360944e-11,-62.557922,69.261938,mse,mean,raw,Shallow ReLU Prior,0
L,Fp1,2.856000e+04,600,-152.490882,-152.527961,-0.037079,1.258663e-07,1.247962e-07,-0.850139,2.233560e+08,1.216182e-07,1.216408e-07,0.018509,1.373798e-09,3.345995e-10,75.644226,2.170807e-10,2.525303e-10,-16.329614,63.094026,mse,mean,raw,Shallow ReLU Prior,0
W,Fp1,0.000000,600,-153.299066,-153.388250,-0.089185,2.848845e-08,2.790939e-08,-2.032612,6.089413e+07,2.481290e-08,2.480739e-08,-0.022196,5.679874e-10,7.329951e-11,87.094893,9.938179e-11,4.171245e-11,58.028502,82.766393,mse,mean,raw,Shallow ReLU Prior,1
W,Fp1,30.000000,700,-154.591742,-154.589852,0.001890,2.863283e-08,2.864530e-08,0.043534,8.242111e+07,1.976301e-08,2.040210e-08,3.233758,3.229378e-09,2.812355e-09,12.913433,1.091936e-09,8.759852e-10,19.776971,14.647735,snr,mean,raw,Shallow ReLU Prior,0
N1,Fp1,60.000000,600,-152.584884,-152.521504,0.063381,3.555621e-08,3.607892e-08,1.470096,6.447686e+07,3.201884e-08,3.333026e-08,4.095763,4.992680e-10,3.573861e-11,92.841813,9.002572e-11,5.026167e-11,44.170274,85.406236,snr,mean,raw,Shallow ReLU Prior,0
N2,Fp1,360.000000,800,-145.526536,-145.371514,0.155022,1.807844e-07,1.873541e-07,3.633986,6.453786e+07,1.784274e-07,1.862446e-07,4.381140,3.417490e-10,3.779800e-11,88.939869,5.918604e-11,4.072671e-11,31.189825,80.414657,snr,mean,raw,Shallow ReLU Prior,0
N3,Fp1,1.140000e+03,400,-144.163273,-144.095746,0.067527,2.043475e-07,2.075496e-07,1.567022,5.329623e+07,2.023813e-07,2.082216e-07,2.885794,3.134382e-10,4.098139e-11,86.925254,4.535924e-11,5.586023e-11,-23.147997,73.009469,snr,mean,raw,Shallow ReLU Prior,0
R,Fp1,6.840000e+03,1500,-150.043574,-149.943980,0.099594,6.160012e-08,6.302909e-08,2.319740,6.222129e+07,5.975999e-08,6.174999e-08,3.329992,3.984293e-10,3.163258e-11,92.060699,5.143263e-11,3.217383e-11,37.445929,85.816477,snr,mean,raw,Shallow ReLU Prior,0
L,Fp1,2.856000e+04,1650,-152.490882,-152.375925,0.114957,1.258663e-07,1.292424e-07,2.682324,2.233560e+08,1.216182e-07,1.253772e-07,3.090791,1.373798e-09,1.173874e-09,14.552703,2.170807e-10,1.763356e-10,18.769967,15.128112,snr,mean,raw,Shallow ReLU Prior,0
W,Fp1,0.000000,500,-153.299066,-153.332060,-0.032994,2.848845e-08,2.827284e-08,-0.756837,6.089413e+07,2.481290e-08,2.528387e-08,1.898088,5.679874e-10,5.425058e-11,90.448646,9.938179e-11,3.953372e-11,60.220756,85.947184,snr,mean,raw,Shallow ReLU Prior,1
W,Fp1,30.000000,600,-154.591742,-155.196731,-0.604989,2.863283e-08,2.490952e-08,-13.003641,8.242111e+07,1.976301e-08,2.493984e-08,26.194574,3.229378e-09,3.627744e-12,99.887664,1.091936e-09,2.933801e-13,99.973132,99.909261,mse,mean,raw,EEGNet,0
N1,Fp1,60.000000,600,-152.584884,-151.896369,0.688515,3.555621e-08,4.166458e-08,17.179473,6.447686e+07,3.201884e-08,4.170456e-08,30.250052,4.992680e-10,4.137753e-12,99.171238,9.002572e-11,3.256935e-13,99.638226,99.242578,mse,mean,raw,EEGNet,0
N2,Fp1,360.000000,600,-145.526536,-149.895471,-4.368936,1.807844e-07,6.611004e-08,-63.431562,6.453786e+07,1.784274e-07,6.620215e-08,-62.896878,3.417490e-10,7.000747e-12,97.951501,5.918604e-11,5.804822e-13,99.019241,98.109118,mse,mean,raw,EEGNet,0
N3,Fp1,1.140000e+03,600,-144.163273,-146.588137,-2.424864,2.043475e-07,1.169184e-07,-42.784515,5.329623e+07,2.023813e-07,1.176568e-07,-41.863763,3.134382e-10,1.157259e-11,96.307867,4.535924e-11,8.624404e-13,98.098687,96.534257,mse,mean,raw,EEGNet,0
R,Fp1,6.840000e+03,600,-150.043574,-148.355554,1.688020,6.160012e-08,9.086227e-08,47.503382,6.222129e+07,5.975999e-08,9.124744e-08,52.689862,3.984293e-10,1.408761e-11,96.464222,5.143263e-11,1.097556e-12,97.866074,96.624490,mse,mean,raw,EEGNet,0
L,Fp1,2.856000e+04,600,-152.490882,-153.992111,-1.501228,1.258663e-07,8.908130e-08,-29.225443,2.233560e+08,1.216182e-07,8.929034e-08,-26.581460,1.373798e-09,1.035852e-11,99.245995,2.170807e-10,7.512373e-13,99.653938,99.301660,mse,mean,raw,EEGNet,0
W,Fp1,0.000000,600,-153.299066,-151.867480,1.431586,2.848845e-08,3.961206e-08,39.046019,6.089413e+07,2.481290e-08,3.973168e-08,60.125133,5.679874e-10,5.429985e-12,99.043997,9.938179e-11,4.232026e-13,99.574169,99.122947,mse,mean,raw,EEGNet,1
W,F3,30.000000,600,-158.018236,-159.713398,-1.695162,1.300813e-08,8.804378e-09,-32.316338,8.242111e+07,6.880569e-09,8.828466e-09,28.310103,2.079588e-09,1.155381e-12,99.944442,8.625293e-10,8.118789e-14,99.990587,99.957970,mse,mean,raw,EEGNet,0
